point_short_code,point_long_code,address_full,geometry
044,20044,20 Santamonica Blvd,"{'type': 'MultiPoint', 'coordinates': [[-79.270927399778, 43.7087670630065]]}"
005,20005,25 Mendelssohn St,"{'type': 'MultiPoint', 'coordinates': [[-79.2804886799693, 43.7149029373781]]}"
016,12016,77 Dunfield Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.3949415929514, 43.7067719740276]]}"
013,18013,211 Steeles Ave E,"{'type': 'MultiPoint', 'coordinates': [[-79.4026251522927, 43.8002282400109]]}"
015,12015,2191 Yonge St,"{'type': 'MultiPoint', 'coordinates': [[-79.3973901588329, 43.7056658536113]]}"
006,20006,3395 St Clair Ave E,"{'type': 'MultiPoint', 'coordinates': [[-79.2754113465998, 43.7130080216446]]}"
010,20010,30 Corvette Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.2621597253873, 43.726485113649]]}"
022,12022,223 Eglinton Ave E,"{'type': 'MultiPoint', 'coordinates': [[-79.3908468303168, 43.7079037464755]]}"
023,12023,720 Mount Pleasant Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.3898120697675, 43.7065283676559]]}"
001,01001,100 Royalcrest Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.6050136936641, 43.7515700507883]]}"
014,15014,50 Denlow Blvd,"{'type': 'MultiPoint', 'coordinates': [[-79.3642277250946, 43.7458394934387]]}"
007,15007,111 Owen Blvd,"{'type': 'MultiPoint', 'coordinates': [[-79.3925162004247, 43.7490561850855]]}"
001,17001,4003 Bayview Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.3928529592359, 43.8022163953495]]}"
018,15018,3179 Yonge St,"{'type': 'MultiPoint', 'coordinates': [[-79.4020544119075, 43.7273281829608]]}"
018,25018,50 Upper Rouge Trl,"{'type': 'MultiPoint', 'coordinates': [[-79.1902392505261, 43.8084816562815]]}"
005,09005,18 Lavender Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.4679721851425, 43.6805852613849]]}"
008,09008,124 Northcliffe Blvd,"{'type': 'MultiPoint', 'coordinates': [[-79.441551585718, 43.6794114666125]]}"
002,09002,75 Holmesdale Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.4505577405563, 43.688715787105]]}"
003,09003,300 Caledonia Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.458898094007, 43.6840057733305]]}"
009,09009,31 Ascot Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.4448952342307, 43.6796259814587]]}"
007,09007,991 St Clair Ave W,"{'type': 'MultiPoint', 'coordinates': [[-79.4363790055539, 43.6786558887327]]}"
011,09011,151 Rosemount Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.4432469521811, 43.6757367136645]]}"
012,09012,1369 St Clair Ave W,"{'type': 'MultiPoint', 'coordinates': [[-79.4513966058579, 43.675330792147]]}"
013,09013,21 Blackthorn Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.4585202970583, 43.6750755761718]]}"
009,15009,19 Don Ridge Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.405236593253, 43.7469765759739]]}"
015,15015,777 Lawrence Ave E,"{'type': 'MultiPoint', 'coordinates': [[-79.3586637804487, 43.7343375450097]]}"
019,09019,178 Edwin Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.4564483357855, 43.6661347663831]]}"
015,09015,315 Osler St,"{'type': 'MultiPoint', 'coordinates': [[-79.4600288033669, 43.6723528079383]]}"
017,09017,61 Pelham Park Gdns,"{'type': 'MultiPoint', 'coordinates': [[-79.457795665253, 43.6692597247403]]}"
029,13029,70 Spruce St,"{'type': 'MultiPoint', 'coordinates': [[-79.3638299150084, 43.6644860052749]]}"
020,09020,2 Ruskin Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.4514701139127, 43.6628755818843]]}"
