ward,sub,total_eligible_electors,number_voted,percent_voted
20,4,354,35,10%
20,5,1265,279,22%
20,6,1722,327,19%
20,7,1117,317,28%
20,8,2017,401,20%
20,9,2125,462,22%
20,10,1570,360,23%
20,11,2041,489,24%
20,13,1000,339,34%
20,15,2554,531,21%
20,16,1120,248,22%
20,17,1389,322,23%
20,18,967,214,22%
20,19,43,33,88%
20,20,118,17,14%
20,21,288,47,16%
20,22,1139,270,24%
20,23,1796,319,18%
20,25,61,46,75%
20,26,1817,439,24%
20,27,1903,525,28%
20,28,1895,574,30%
20,29,1421,390,27%
20,30,1429,304,21%
20,31,1274,373,29%
20,32,1786,487,27%
20,33,1968,468,24%
20,34,948,303,32%
20,35,289,33,11%
20,36,109,32,29%
20,37,1813,404,22%
20,38,1312,330,25%
20,39,36,36,100%
20,40,289,52,18%
20,41,2180,520,24%
20,42,2112,491,23%
20,44,2520,511,21%
20,45,50,20,40%
20,46,187,36,19%
20,47,557,84,15%
20,48,2976,601,20%
20,49,2396,515,21%
20,50,461,114,25%
20,52,433,147,34%
20,54,648,179,28%
20,55,279,139,51%
20,56,2490,516,21%
20,57,831,196,24%
20,58,51,33,71%
20,59,2078,491,24%
20,61,1327,374,28%
20,62,972,300,31%
20,63,1483,446,30%
20,64,1946,596,31%
20,66,1706,579,34%
20,97,NA,640,NA
20,98,NA,3548,NA
20,99,NA,1658,NA
20 Total,NA,74104,23967,32%
21,1,1692,291,17%
21,2,2091,405,19%
21,3,3095,482,16%
21,5,872,272,31%
21,8,1843,286,16%
21,9,66,20,30%
21,11,1016,297,29%
21,14,2912,413,14%
21,18,2515,651,26%
21,20,2406,516,21%
21,22,69,10,14%
21,23,2601,415,16%
21,24,1646,269,16%
21,25,1534,309,20%
21,26,2342,524,22%
21,27,1636,318,19%
21,28,141,45,32%
21,29,198,77,39%
21,31,371,105,28%
21,32,2569,464,18%
21,33,1074,139,13%
21,34,1301,257,20%
21,35,38,29,76%
21,37,793,194,24%
21,39,3016,511,17%
21,40,137,22,16%
21,41,215,93,43%
21,42,238,93,39%
21,43,75,23,31%
21,44,1514,402,27%
21,46,2860,523,18%
21,47,1505,343,23%
21,48,2178,394,18%
21,49,1450,367,25%
21,50,2122,406,19%
21,51,2950,610,21%
21,52,1721,391,23%
21,53,1565,331,21%
21,54,1975,358,18%
21,56,1373,202,15%
21,57,1024,276,27%
21,58,1706,318,19%
21,59,1189,286,24%
21,60,786,229,29%
21,61,2019,313,16%
21,62,2466,568,23%
21,65,2335,417,18%
21,97,NA,426,NA
21,98,NA,2371,NA
21,99,NA,1806,NA
21 Total,NA,71240,18867,26%
22,1,3026,545,18%
22,2,1249,251,20%
22,4,1764,293,17%
22,5,119,29,25%
22,7,1005,224,23%
22,8,2186,312,14%
22,9,91,71,79%
22,10,1076,312,29%
22,11,2425,428,18%
22,12,2188,324,15%
22,13,205,69,34%
22,14,174,54,31%
22,15,337,121,36%
22,16,81,16,20%
22,17,1892,317,17%
22,18,828,286,35%
22,19,2449,526,21%
22,24,897,313,35%
22,25,1555,277,18%
22,26,1890,341,18%
22,28,1691,258,15%
22,29,1137,212,19%
22,31,2505,320,13%
22,32,2231,488,22%
22,34,419,145,35%
22,37,1975,321,16%
22,38,1375,275,20%
22,39,1595,364,23%
22,40,2505,468,19%
22,41,1938,331,17%
22,42,1308,150,11%
22,43,493,88,18%
22,44,244,78,32%
22,45,972,159,16%
22,46,2310,540,23%
22,48,3279,753,23%
22,50,2253,494,22%
22,52,2863,330,12%
22,53,1458,182,13%
22,54,2682,552,21%
22,56,166,77,46%
22,57,349,129,37%
22,58,56,36,64%
22,59,412,140,34%
22,60,2951,403,14%
22,61,1390,210,15%
22,64,1129,184,16%
22,97,NA,726,NA
22,98,NA,1977,NA
22,99,NA,1970,NA
22 Total,NA,67123,17469,26%
23,1,2262,392,17%
23,2,2392,383,16%
23,4,301,44,15%
23,5,1713,337,20%
23,6,1337,175,13%
23,7,2693,355,13%
23,14,2832,308,11%
23,15,2151,352,16%
23,16,2201,558,25%
23,17,2072,386,19%
23,18,2625,485,18%
23,22,2654,366,14%
23,23,1090,246,23%
23,24,1898,383,20%
23,25,1609,308,19%
23,26,1746,338,19%
23,27,1032,218,21%
23,29,2174,398,18%
23,30,2354,377,16%
23,31,1772,332,19%
23,32,124,20,16%
23,33,215,98,46%
23,34,194,60,31%
23,35,1705,367,22%
23,36,2167,437,20%
23,39,2501,488,20%
23,40,1287,206,16%
23,41,2206,356,16%
23,42,1079,146,14%
23,43,2486,306,12%
23,44,203,72,35%
23,45,2015,278,14%
23,46,2392,352,15%
23,50,1902,317,17%
23,51,1954,339,17%
23,97,NA,456,NA
23,98,NA,1753,NA
23,99,NA,2596,NA
23 Total,NA,61338,15388,25%
24,1,221,66,30%
24,2,1416,258,18%
24,3,634,94,15%
24,4,803,134,17%
24,5,647,115,18%
24,6,2101,219,10%
24,7,339,81,24%
24,8,1417,205,14%
24,9,1876,321,17%
24,10,1383,313,23%
24,11,2444,482,20%
24,12,2784,445,16%
24,13,275,68,25%
24,14,422,111,27%
24,15,79,27,34%
24,16,162,66,42%
24,17,1082,317,29%
24,18,1888,398,21%
24,19,1825,402,22%
24,20,1788,369,21%
24,21,1154,252,22%
24,22,2193,430,20%
24,23,3,3,100%
24,24,1682,418,25%
24,25,849,202,24%
24,26,1194,272,23%
24,27,1727,250,14%
24,28,166,28,17%
24,30,461,161,35%
24,31,2173,652,30%
24,32,2148,438,20%
24,34,113,28,26%
24,35,2208,434,20%
24,36,3315,482,15%
24,37,299,70,23%
24,38,2224,330,15%
24,40,2913,535,18%
24,41,1223,355,29%
24,42,2088,478,23%
24,44,570,273,48%
24,45,355,58,17%
24,46,3008,576,19%
24,47,2958,444,15%
24,50,48,34,71%
24,51,1567,434,28%
24,53,1461,373,26%
24,54,2235,408,18%
24,55,159,58,36%
24,97,NA,400,NA
24,98,NA,1912,NA
24,99,NA,1720,NA
24 Total,NA,64080,16999,27%
25,1,2599,593,23%
25,2,1072,257,24%
25,5,159,61,38%
25,6,216,77,36%
25,7,1561,162,10%
25,8,2205,348,16%
25,9,1386,225,16%
25,10,2716,400,15%
25,11,1522,224,15%
25,12,1733,307,18%
25,13,2205,338,15%
25,15,1849,291,16%
25,16,2438,355,15%
25,17,1528,254,17%
25,18,3390,526,16%
25,19,175,14,8%
25,20,1742,349,20%
25,21,1987,440,22%
25,25,2463,509,21%
25,26,2206,470,21%
25,27,72,18,28%
25,28,2170,493,23%
25,29,2047,576,28%
25,30,2048,552,27%
25,31,1540,314,20%
25,32,2000,471,24%
25,33,1085,281,26%
25,34,1715,490,29%
25,35,1636,429,26%
25,36,1494,421,28%
25,37,17,6,35%
25,38,1507,373,25%
25,39,2845,632,22%
25,40,32,0,0%
25,41,2782,630,23%
25,42,2501,503,20%
25,43,2092,447,21%
25,44,141,62,44%
25,45,28,22,79%
25,46,1251,236,19%
25,47,1291,187,14%
25,48,2375,474,20%
25,49,3123,523,17%
25,52,289,53,18%
25,53,2327,358,15%
25,97,NA,468,NA
25,98,NA,1702,NA
25,99,NA,3127,NA
25 Total,NA,73560,20048,27%
Grand Total,NA,1898750,563124,30%
