point_short_code,point_long_code,geometry
007,15007,"{'type': 'MultiPoint', 'coordinates': [[-79.3925162004247, 43.7490561850855]]}"
001,17001,"{'type': 'MultiPoint', 'coordinates': [[-79.3928529592359, 43.8022163953495]]}"
018,15018,"{'type': 'MultiPoint', 'coordinates': [[-79.4020544119075, 43.7273281829608]]}"
018,25018,"{'type': 'MultiPoint', 'coordinates': [[-79.1902392505261, 43.8084816562815]]}"
005,09005,"{'type': 'MultiPoint', 'coordinates': [[-79.4679721851425, 43.6805852613849]]}"
008,09008,"{'type': 'MultiPoint', 'coordinates': [[-79.441551585718, 43.6794114666125]]}"
002,09002,"{'type': 'MultiPoint', 'coordinates': [[-79.4505577405563, 43.688715787105]]}"
003,09003,"{'type': 'MultiPoint', 'coordinates': [[-79.458898094007, 43.6840057733305]]}"
009,09009,"{'type': 'MultiPoint', 'coordinates': [[-79.4448952342307, 43.6796259814587]]}"
007,09007,"{'type': 'MultiPoint', 'coordinates': [[-79.4363790055539, 43.6786558887327]]}"
011,09011,"{'type': 'MultiPoint', 'coordinates': [[-79.4432469521811, 43.6757367136645]]}"
012,09012,"{'type': 'MultiPoint', 'coordinates': [[-79.4513966058579, 43.675330792147]]}"
013,09013,"{'type': 'MultiPoint', 'coordinates': [[-79.4585202970583, 43.6750755761718]]}"
009,15009,"{'type': 'MultiPoint', 'coordinates': [[-79.405236593253, 43.7469765759739]]}"
015,15015,"{'type': 'MultiPoint', 'coordinates': [[-79.3586637804487, 43.7343375450097]]}"
019,09019,"{'type': 'MultiPoint', 'coordinates': [[-79.4564483357855, 43.6661347663831]]}"
015,09015,"{'type': 'MultiPoint', 'coordinates': [[-79.4600288033669, 43.6723528079383]]}"
017,09017,"{'type': 'MultiPoint', 'coordinates': [[-79.457795665253, 43.6692597247403]]}"
029,13029,"{'type': 'MultiPoint', 'coordinates': [[-79.3638299150084, 43.6644860052749]]}"
020,09020,"{'type': 'MultiPoint', 'coordinates': [[-79.4514701139127, 43.6628755818843]]}"
021,09021,"{'type': 'MultiPoint', 'coordinates': [[-79.4474258737937, 43.6669749651066]]}"
026,25026,"{'type': 'MultiPoint', 'coordinates': [[-79.1512873936937, 43.7993862553854]]}"
022,09022,"{'type': 'MultiPoint', 'coordinates': [[-79.4402927050095, 43.6721188639003]]}"
026,09026,"{'type': 'MultiPoint', 'coordinates': [[-79.4294393200467, 43.6624514846423]]}"
023,09023,"{'type': 'MultiPoint', 'coordinates': [[-79.4392706076072, 43.6673150084825]]}"
025,25025,"{'type': 'MultiPoint', 'coordinates': [[-79.1638346582217, 43.8027223090495]]}"
027,09027,"{'type': 'MultiPoint', 'coordinates': [[-79.4349208399043, 43.6636047930609]]}"
057,13057,"{'type': 'MultiPoint', 'coordinates': [[-79.3723195931078, 43.6565828383347]]}"
077,13077,"{'type': 'MultiPoint', 'coordinates': [[-79.3716362148495, 43.6519371852766]]}"
024,09024,"{'type': 'MultiPoint', 'coordinates': [[-79.4357789540645, 43.666735610558]]}"
002,01002,"{'type': 'MultiPoint', 'coordinates': [[-79.5964455179149, 43.7533579130158]]}"
025,09025,"{'type': 'MultiPoint', 'coordinates': [[-79.4326922894381, 43.6658064451561]]}"
031,13031,"{'type': 'MultiPoint', 'coordinates': [[-79.3725488306269, 43.665039838589]]}"
065,17065,"{'type': 'MultiPoint', 'coordinates': [[-79.3594512166123, 43.7730656068672]]}"
052,09052,"{'type': 'MultiPoint', 'coordinates': [[-79.4228191815781, 43.6418104498901]]}"
065,13065,"{'type': 'MultiPoint', 'coordinates': [[-79.3577564444185, 43.6630613843896]]}"
075,13075,"{'type': 'MultiPoint', 'coordinates': [[-79.3745020471162, 43.6524677569118]]}"
010,15010,"{'type': 'MultiPoint', 'coordinates': [[-79.4043124025676, 43.7434039455178]]}"
074,13074,"{'type': 'MultiPoint', 'coordinates': [[-79.3743531936554, 43.6502749164311]]}"
076,13076,"{'type': 'MultiPoint', 'coordinates': [[-79.3729690675719, 43.6536177061789]]}"
030,25030,"{'type': 'MultiPoint', 'coordinates': [[-79.1344743650252, 43.7850464257848]]}"
033,25033,"{'type': 'MultiPoint', 'coordinates': [[-79.1422383222644, 43.7793019336713]]}"
049,09049,"{'type': 'MultiPoint', 'coordinates': [[-79.425931003237, 43.6425984184286]]}"
055,13055,"{'type': 'MultiPoint', 'coordinates': [[-79.3745924176942, 43.6579204164551]]}"
059,13059,"{'type': 'MultiPoint', 'coordinates': [[-79.3709168672675, 43.6592908128359]]}"
035,25035,"{'type': 'MultiPoint', 'coordinates': [[-79.1492505532434, 43.7825469523064]]}"
066,13066,"{'type': 'MultiPoint', 'coordinates': [[-79.3576497840346, 43.6573424094546]]}"
016,09016,"{'type': 'MultiPoint', 'coordinates': [[-79.4548585931816, 43.6709200141219]]}"
014,01014,"{'type': 'MultiPoint', 'coordinates': [[-79.5747551861525, 43.7426035565314]]}"
062,13062,"{'type': 'MultiPoint', 'coordinates': [[-79.3669550617347, 43.6608245373338]]}"
063,13063,"{'type': 'MultiPoint', 'coordinates': [[-79.3609607421943, 43.6607636385916]]}"
064,13064,"{'type': 'MultiPoint', 'coordinates': [[-79.3569990853646, 43.6624162225411]]}"
017,01017,"{'type': 'MultiPoint', 'coordinates': [[-79.5539537350338, 43.7380608406619]]}"
021,01021,"{'type': 'MultiPoint', 'coordinates': [[-79.582908112082, 43.7350715355536]]}"
046,18046,"{'type': 'MultiPoint', 'coordinates': [[-79.411056249547, 43.7741078589817]]}"
002,24002,"{'type': 'MultiPoint', 'coordinates': [[-79.2497847666866, 43.7809561172766]]}"
003,24003,"{'type': 'MultiPoint', 'coordinates': [[-79.2485567917663, 43.781062768328]]}"
050,18050,"{'type': 'MultiPoint', 'coordinates': [[-79.391275284261, 43.766529761151]]}"
004,24004,"{'type': 'MultiPoint', 'coordinates': [[-79.2463910228794, 43.7818804272375]]}"
051,18051,"{'type': 'MultiPoint', 'coordinates': [[-79.4059659483565, 43.7696090327771]]}"
005,24005,"{'type': 'MultiPoint', 'coordinates': [[-79.2454553604346, 43.7811917305063]]}"
052,18052,"{'type': 'MultiPoint', 'coordinates': [[-79.4062278794325, 43.7653513138484]]}"
006,24006,"{'type': 'MultiPoint', 'coordinates': [[-79.2351078852929, 43.7755317569301]]}"
008,24008,"{'type': 'MultiPoint', 'coordinates': [[-79.2284585858987, 43.7781651122844]]}"
024,22024,"{'type': 'MultiPoint', 'coordinates': [[-79.317033390284, 43.8007041901703]]}"
041,18041,"{'type': 'MultiPoint', 'coordinates': [[-79.4124434416059, 43.7765216288908]]}"
004,12004,"{'type': 'MultiPoint', 'coordinates': [[-79.4479966609746, 43.6912815689627]]}"
