_id,POINT_ID,POINT_TYPE_ID,POINT_TYPE,FEATURE_CODE,FEATURE_CODE_DESC,POINT_SHORT_CODE,POINT_LONG_CODE,POINT_NAME,POINT_DESC,REF_FEATURE_TYPE,REF_FEATURE_ID_SPAT,REF_FEATURE_ID_TAB,SOURCE_FEATURE_TYPE,SOURCE_FEATURE_ID,VOTER_COUNT,OBJECTID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,geometry
28,12250,,VOTING_LOCATION,P,Primary,008,01008,None,None,None,,,ADDRESS_POINT,5000698,419,1310,1,Rowntree Rd,1 Rowntree Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.5828573684119, 43.7511978597463]]}"
29,12251,,VOTING_LOCATION,P,Primary,009,01009,None,None,None,,,ADDRESS_POINT,5000699,492,1311,3,Rowntree Rd,3 Rowntree Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.5817342147669, 43.7504092449963]]}"
30,11520,,VOTING_LOCATION,P,Primary,011,01011,St. Andrew Catholic School,None,None,,,ADDRESS_POINT,8206173,2566,1312,2533,Kipling Ave,2533 Kipling Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.5823817817994, 43.7449311405296]]}"
31,12255,,VOTING_LOCATION,P,Primary,006,25006,None,None,None,,,ADDRESS_POINT,12834076,197,1313,1319,Neilson Rd,1319 Neilson Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.2179834082513, 43.8084161009352]]}"
32,11121,,VOTING_LOCATION,P,Primary,020,25020,St. Jean De Brebeuf Catholic School,None,None,,,ADDRESS_POINT,326651,1947,1314,101,Dean Park Rd,101 Dean Park Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.1740585576179, 43.8022683840224]]}"
33,11605,,VOTING_LOCATION,P,Primary,008,25008,Sacred Heart Catholic School,None,None,,,ADDRESS_POINT,6947396,2397,1316,75,Hupfield Trl,75 Hupfield Trl,"{'type': 'MultiPoint', 'coordinates': [[-79.2201440043568, 43.8121839993684]]}"
34,12258,,VOTING_LOCATION,P,Primary,010,01010,None,None,None,,,ADDRESS_POINT,5000700,519,1317,5,Rowntree Rd,5 Rowntree Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.5807789461201, 43.7495207852325]]}"
35,12259,,VOTING_LOCATION,P,Primary,005,25005,Neilson Hall Apartments,None,None,,,ADDRESS_POINT,12834075,167,1318,1315,Neilson Rd,1315 Neilson Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.2188089881998, 43.8077783364354]]}"
36,11100,,VOTING_LOCATION,P,Primary,034,25034,Charlottetown Junior Elementary School - Building Grounds,None,None,,,ADDRESS_POINT,318714,1850,1321,85,Charlottetown Blvd,85 Charlottetown Blvd,"{'type': 'MultiPoint', 'coordinates': [[-79.1422089559982, 43.7820702346732]]}"
37,10225,,VOTING_LOCATION,P,Primary,013,16013,Ranchdale Public School,None,None,,,ADDRESS_POINT,554092,944,1322,60,Ranchdale Cres,60 Ranchdale Cres,"{'type': 'MultiPoint', 'coordinates': [[-79.3232914375889, 43.7524580000985]]}"
38,10250,,VOTING_LOCATION,P,Primary,002,16002,Operating Engineers Local 793 Co-Op,None,None,,,ADDRESS_POINT,6172460,774,1324,2020,Don Mills Rd,2020 Don Mills Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.3478339987265, 43.7627841446126]]}"
39,10580,,VOTING_LOCATION,P,Primary,031,25031,Joseph Howe Public School,None,None,,,ADDRESS_POINT,398881,1670,1325,20,Winter Gardens Trl,20 Winter Gardens Trl,"{'type': 'MultiPoint', 'coordinates': [[-79.13729821037, 43.785807845353]]}"
40,10264,,VOTING_LOCATION,P,Primary,012,16012,Brookbanks Public Library,None,None,,,ADDRESS_POINT,492884,803,1327,210,Brookbanks Dr,210 Brookbanks Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.3259011483749, 43.7595413168495]]}"
41,10762,,VOTING_LOCATION,P,Primary,002,17002,Steelesview Public School,None,None,,,ADDRESS_POINT,9467757,1524,1329,105,Bestview Dr,105 Bestview Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.3856328580992, 43.8026660882921]]}"
42,10749,,VOTING_LOCATION,P,Primary,042,12042,Timothy Eaton Memorial Church,None,None,,,ADDRESS_POINT,871446,3120,1331,230,St Clair Ave W,230 St Clair Ave W,"{'type': 'MultiPoint', 'coordinates': [[-79.4057175801005, 43.6863163755156]]}"
43,10531,,VOTING_LOCATION,P,Primary,043,12043,Grace Church On-The-Hill,None,None,,,ADDRESS_POINT,7273403,2747,1332,300,Lonsdale Rd,300 Lonsdale Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.4097290818869, 43.6895069476587]]}"
44,10820,,VOTING_LOCATION,P,Primary,001,20001,Clairlea Public School,None,None,,,ADDRESS_POINT,6511806,1345,1333,25,Rosalind Cres,25 Rosalind Cres,"{'type': 'MultiPoint', 'coordinates': [[-79.2962358879462, 43.7164767633036]]}"
45,10740,,VOTING_LOCATION,P,Primary,005,12005,D'Arcy McGee Catholic School,None,None,,,ADDRESS_POINT,51593,4056,1335,20,Bansley Ave,20 Bansley Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.4429115844532, 43.6922556300161]]}"
46,11244,,VOTING_LOCATION,P,Primary,003,12003,St. Thomas Aquinas Catholic School,None,None,,,ADDRESS_POINT,8571075,2770,1336,636,Glenholme Ave,636 Glenholme Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.4457437831478, 43.6958897058391]]}"
47,11671,,VOTING_LOCATION,P,Primary,017,12017,The Madison,None,None,,,ADDRESS_POINT,30023274,1042,1337,89,Dunfield Ave,89 Dunfield Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.3950127978826, 43.7069457639863]]}"
48,11068,,VOTING_LOCATION,P,Primary,008,12008,Cedarvale Community School,None,None,,,ADDRESS_POINT,51217,2059,1339,145,Ava Rd,145 Ava Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.4302837269918, 43.696025486871]]}"
49,10652,,VOTING_LOCATION,P,Primary,009,12009,Glen Gardens Apartments,None,None,,,ADDRESS_POINT,8594650,1161,1341,989,Eglinton Ave W,989 Eglinton Ave W,"{'type': 'MultiPoint', 'coordinates': [[-79.4303111505153, 43.6997156707696]]}"
50,10282,,VOTING_LOCATION,P,Primary,010,12010,Beth Tzedec Synagogue,None,None,,,ADDRESS_POINT,8855298,2001,1342,1700,Bathurst St,1700 Bathurst St,"{'type': 'MultiPoint', 'coordinates': [[-79.4244002758798, 43.6954265728918]]}"
